query,symbol,chr,start,end,strand,notfound
ACOT11,ACOT11,1,54542257.0,54639192.0,1.0,False
ACOT13,ACOT13,6,24666921.0,24705065.0,1.0,False
ACOT2,ACOT2,14,73567620.0,73575658.0,1.0,False
ACOT7,ACOT7,1,6264268.0,6393767.0,-1.0,False
ACOT8,ACOT8,20,45841709.0,45857405.0,-1.0,False
ACOT9,ACOT9,X,23699396.0,23766475.0,-1.0,False
ACOX1,ACOX1,17,75941507.0,75979459.0,-1.0,False
ACOX3,ACOX3,4,8365885.0,8440750.0,-1.0,False
ACP1,ACP1,2,264140.0,279100.0,1.0,False
ACP2,ACP2,11,47238400.0,47249288.0,-1.0,False
ACP5,ACP5,19,11574653.0,11579993.0,-1.0,False
ACP6,ACP6,1,147629652.0,147670531.0,-1.0,False
ACRBP,ACRBP,12,6638075.0,6647433.0,-1.0,False
ACSF2,ACSF2,17,50426158.0,50474845.0,1.0,False
ACSF3,ACSF3,16,89088375.0,89164121.0,1.0,False
ACSL1,ACSL1,4,184755501.0,184826853.0,-1.0,False
ACSL3,ACSL3,2,222860942.0,222944639.0,1.0,False
ACSL4,ACSL4,X,109624244.0,109733403.0,-1.0,False
ACSL5,ACSL5,10,112372400.0,112428381.0,1.0,False
ACSL6,ACSL6,5,131949973.0,132012243.0,-1.0,False
ACSM3,ACSM3,16,20610243.0,20797843.0,1.0,False
ACSS1,ACSS1,20,25006230.0,25058980.0,-1.0,False
ACSS2,ACSS2,20,34872146.0,34927962.0,1.0,False
ACTA2,ACTA2,10,88934822.0,88991339.0,-1.0,False
ACTB,ACTB,7,5526409.0,5563902.0,-1.0,False
ACTG1,ACTG1,17,81509413.0,81523847.0,-1.0,False
ACTL10,ACTL10,20,33666943.0,33668525.0,1.0,False
ACTL6A,ACTL6A,3,179562886.0,179588407.0,1.0,False
ACTN1,ACTN1,14,68874121.0,68980277.0,-1.0,False
ACTN4,ACTN4,19,38647605.0,38731589.0,1.0,False
ACTR10,ACTR10,14,58200080.0,58235636.0,1.0,False
ACTR1A,ACTR1A,10,102461881.0,102502744.0,-1.0,False
ACTR1B,ACTR1B,2,97655939.0,97664114.0,-1.0,False
ACTR2,ACTR2,2,65227745.0,65271253.0,1.0,False
ACTR3,ACTR3,2,113889600.0,113962596.0,1.0,False
ACTR3B,ACTR3B,7,152759749.0,152855378.0,1.0,False
ACTR3C,ACTR3C,7,150243916.0,150323725.0,-1.0,False
ACTR5,ACTR5,20,38748457.0,38772520.0,1.0,False
ACTR6,ACTR6,12,100199122.0,100241865.0,1.0,False
ACTR8,ACTR8,3,53863038.0,53882198.0,-1.0,False
ACVR1,ACVR1,2,157736249.0,157876347.0,-1.0,False
ACVR1B,ACVR1B,12,51951679.0,51997082.0,1.0,False
ACVR2A,ACVR2A,2,147844378.0,147930826.0,1.0,False
ACVR2B,ACVR2B,3,38453890.0,38493142.0,1.0,False
ACY3,ACY3,11,67642551.0,67650900.0,-1.0,False
ACYP1,ACYP1,14,75053221.0,75069483.0,-1.0,False
ACYP2,ACYP2,2,53970838.0,54305300.0,1.0,False
ADA,ADA,20,44584896.0,44652252.0,-1.0,False
ADA2,ADA2,22,17178790.0,17258235.0,-1.0,False
ADAL,MAPDA,15,43330307.0,43355418.0,1.0,False
ADAM10,ADAM10,15,58588809.0,58749842.0,-1.0,False
ADAM12,ADAM12,10,126012381.0,126388477.0,-1.0,False
ADAM15,ADAM15,1,155050566.0,155062780.0,1.0,False
ADAM17,ADAM17,2,9488486.0,9556732.0,-1.0,False
ADAM19,ADAM19,5,157395534.0,157575858.0,-1.0,False
ADAM28,ADAM28,8,24294016.0,24359014.0,1.0,False
ADAM8,ADAM8,10,133262416.0,133276909.0,-1.0,False
ADAM9,ADAM9,8,38996754.0,39105445.0,1.0,False
ADAMTS1,ADAMTS1,21,26835755.0,26845409.0,-1.0,False
ADAMTS10,ADAMTS10,19,8580240.0,8610735.0,-1.0,False
ADAMTSL4,ADAMTSL4,1,150549369.0,150560937.0,1.0,False
ADAMTSL5,ADAMTSL5,19,1505022.0,1513604.0,-1.0,False
ADAP1,ADAP1,7,897900.0,955407.0,-1.0,False
ADAP2,ADAP2,17,30906344.0,30959945.0,1.0,False
ADAR,ADAR,1,154581695.0,154628013.0,-1.0,False
ADARB1,ADARB1,21,45073839.0,45226560.0,1.0,False
ADAT1,ADAT1,16,75596868.0,75623300.0,-1.0,False
ADAT2,ADAT2,6,143422832.0,143450695.0,-1.0,False
ADCK1,ADCK1,14,77800064.0,77935014.0,1.0,False
ADCK2,ADCK2,7,140672885.0,140696261.0,1.0,False
ADCK5,ADCK5,8,144373101.0,144393242.0,1.0,False
ADCY3,ADCY3,2,24819169.0,24920299.0,-1.0,False
ADCY7,ADCY7,16,50246137.0,50318135.0,1.0,False
ADCY9,ADCY9,16,3953387.0,4116442.0,-1.0,False
ADD1,ADD1,4,2843576.0,2930082.0,1.0,False
ADD2,ADD2,2,70607618.0,70768499.0,-1.0,False
ADD3,ADD3,10,109996356.0,110135565.0,1.0,False
ADGRE1,ADGRE1,19,6887566.0,6940459.0,1.0,False
ADGRE2,ADGRE2,19,14732392.0,14778560.0,-1.0,False
ADGRE3,ADGRE3,19,14599080.0,14690027.0,-1.0,False
ADGRE5,ADGRE5,19,14380501.0,14408729.0,1.0,False
ADGRG1,ADGRG1,16,57610652.0,57665580.0,1.0,False
ADGRG5,ADGRG5,16,57542643.0,57591681.0,1.0,False
ADGRL1,ADGRL1,19,14147743.0,14206204.0,-1.0,False
ADH5,ADH5,4,99070978.0,99088801.0,-1.0,False
ADHFE1,ADHFE1,8,66432467.0,66468907.0,1.0,False
ADI1,ADI1,2,3497366.0,3519559.0,-1.0,False
ADIPOR1,ADIPOR1,1,202940090.0,202958572.0,-1.0,False
ADIPOR2,ADIPOR2,12,1688574.0,1788680.0,1.0,False
ADK,ADK,10,74151191.0,74709963.0,1.0,False
ADM,ADM,11,10303392.0,10307397.0,1.0,False
ADNP,ADNP,20,50888916.0,50931437.0,-1.0,False
ADNP2,ADNP2,18,80109262.0,80147523.0,1.0,False
ADO,ADO,10,62804720.0,62808479.0,1.0,False
ADORA2A-AS1,ADORA2A-AS1,22,24429206.0,24495074.0,-1.0,False
ADPGK,ADPGK,15,72751294.0,72785846.0,-1.0,False
ADPRH,ADPRH,3,119579268.0,119590165.0,1.0,False
ADPRM,ADPRM,17,10697594.0,10711558.0,1.0,False
ADRB2,ADRB2,5,148826611.0,148828623.0,1.0,False
ADRM1,ADRM1,20,62302066.0,62308867.0,1.0,False
ADSL,ADSL,22,40346461.0,40390463.0,1.0,False
ADTRP,ADTRP,6,11712054.0,11807046.0,-1.0,False
AEBP1,AEBP1,7,44104295.0,44114565.0,1.0,False
AEBP2,AEBP2,12,19404045.0,19720801.0,1.0,False
AEN,AEN,15,88620070.0,88632281.0,1.0,False
AFAP1,AFAP1,4,7758713.0,7939926.0,-1.0,False
AFAP1L2,AFAP1L2,10,114293604.0,114404775.0,-1.0,False
AFDN,AFDN,6,167826859.0,167972023.0,1.0,False
AFF1,AFF1,4,86934237.0,87141073.0,1.0,False
AFF3,AFF3,2,99545419.0,100192428.0,-1.0,False
AFF4,AFF4,5,132875395.0,132963634.0,-1.0,False
AFG1L,AFG1L,6,108294926.0,108526796.0,1.0,False
AFG3L2,AFG3L2,18,12328932.0,12377473.0,-1.0,False
AFMID,AFMID,17,78187330.0,78207703.0,1.0,False
AFTPH,AFTPH,2,64524289.0,64593007.0,1.0,False
AGA,AGA,4,177430774.0,177442444.0,-1.0,False
AGAP1,AGAP1,2,235494043.0,236131793.0,1.0,False
AGAP2,AGAP2,12,57723761.0,57742157.0,-1.0,False
AGAP3,AGAP3,7,151085831.0,151144436.0,1.0,False
AGAP4,AGAP4,10,45825594.0,45853875.0,-1.0,False
AGAP6,AGAP6,10,49982190.0,50011654.0,1.0,False
AGBL2,AGBL2,11,47659591.0,47715389.0,-1.0,False
AGBL5,AGBL5,2,27042364.0,27070622.0,1.0,False
AGER,AGER,6,32180963.0,32184344.0,-1.0,False
AGFG1,AGFG1,2,227472134.0,227561217.0,1.0,False
AGFG2,AGFG2,7,100539190.0,100568220.0,1.0,False
AGGF1,AGGF1,5,77029251.0,77065234.0,1.0,False
AGK,AGK,7,141551278.0,141655244.0,1.0,False
AGL,AGL,1,99849777.0,99924024.0,1.0,False
AGMAT,AGMAT,1,15571699.0,15585078.0,-1.0,False
AGO1,AGO1,1,35869808.0,35930532.0,1.0,False
AGO2,AGO2,8,140520156.0,140635633.0,-1.0,False
AGO3,AGO3,1,35930696.0,36072500.0,1.0,False
AGO4,AGO4,1,35808016.0,35857890.0,1.0,False
AGPAT1,AGPAT1,6,32168205.0,32178096.0,-1.0,False
AGPAT2,AGPAT2,9,136673142.0,136687457.0,-1.0,False
AGPAT3,AGPAT3,21,43865223.0,43987592.0,1.0,False
AGPAT4,AGPAT4,6,161129967.0,161274095.0,-1.0,False
AGPAT5,AGPAT5,8,6708341.0,6761503.0,1.0,False
AGPS,AGPS,2,177392576.0,177567024.0,1.0,False
AGTPBP1,AGTPBP1,9,85546539.0,85742144.0,-1.0,False
AGTRAP,AGTRAP,1,11736084.0,11754802.0,1.0,False
AHCTF1,AHCTF1,1,246839098.0,246932063.0,-1.0,False
AHCY,AHCY,20,34280268.0,34311802.0,-1.0,False
AHCYL1,AHCYL1,1,109984765.0,110023742.0,1.0,False
AHCYL2,AHCYL2,7,129225021.0,129430211.0,1.0,False
AHDC1,AHDC1,1,27534035.0,27604431.0,-1.0,False
AHI1,AHI1,6,135283407.0,135498434.0,-1.0,False
AHNAK,AHNAK,11,62433542.0,62556235.0,-1.0,False
AHR,AHR,7,16916359.0,17346152.0,1.0,False
AHSA1,AHSA1,14,77457743.0,77469482.0,1.0,False
AIDA,AIDA,1,222668013.0,222713210.0,-1.0,False
AIF1,AIF1,6,31615217.0,31617021.0,1.0,False
AIFM1,AIFM1,X,130124666.0,130165879.0,-1.0,False
AIFM2,AIFM2,10,70097053.0,70133269.0,-1.0,False
AIFM3,AIFM3,22,20965108.0,20981364.0,1.0,False
AIG1,AIG1,6,143060496.0,143341058.0,1.0,False
AIM2,AIM2,1,159056129.0,159188222.0,-1.0,False
AIMP1,AIMP1,4,106315544.0,106349456.0,1.0,False
AIMP2,AIMP2,7,6009255.0,6023834.0,1.0,False
AIP,AIP,11,67468174.0,67491154.0,1.0,False
AJM1,AJM1,9,136842478.0,136848801.0,1.0,False
AK1,AK1,9,127866486.0,127878558.0,-1.0,False
AK2,AK2,1,33007986.0,33080996.0,-1.0,False
AK3,AK3,9,4709556.0,4742043.0,-1.0,False
AK4,AK4,1,65146902.0,65232145.0,1.0,False
AK5,AK5,1,77282019.0,77559966.0,1.0,False
AK6,AK6,5,69350984.0,69370013.0,-1.0,False
AK9,AK9,6,109492855.0,109691217.0,-1.0,False
AKAP1,AKAP1,17,57085092.0,57121349.0,1.0,False
AKAP10,AKAP10,17,19904302.0,19978343.0,-1.0,False
AKAP11,AKAP11,13,42271475.0,42323283.0,1.0,False
AKAP13,AKAP13,15,85380571.0,85749358.0,1.0,False
AKAP17A,AKAP17A,X,1591604.0,1602532.0,1.0,False
AKAP5,AKAP5,14,64465499.0,64474503.0,1.0,False
AKAP6,AKAP6,14,32329298.0,32837684.0,1.0,False
AKAP7,AKAP7,6,131135467.0,131283535.0,1.0,False
AKAP8,AKAP8,19,15353385.0,15379829.0,-1.0,False
AKAP8L,AKAP8L,19,15380050.0,15419141.0,-1.0,False
AKAP9,AKAP9,7,91940840.0,92110673.0,1.0,False
AKIP1,AKIP1,11,8911113.0,8922406.0,1.0,False
AKIRIN1,AKIRIN1,1,38991272.0,39006059.0,1.0,False
AKIRIN2,AKIRIN2,6,87674860.0,87702255.0,-1.0,False
AKNA,AKNA,9,114334156.0,114394405.0,-1.0,False
AKR1A1,AKR1A1,1,45550475.0,45570051.0,1.0,False
AKR1B1,AKR1B1,7,134442349.0,134459284.0,-1.0,False
AKR1C3,AKR1C3,10,5035354.0,5107686.0,1.0,False
AKR7A2,AKR7A2,1,19301991.0,19312144.0,-1.0,False
AKT1,AKT1,14,104769348.0,104799934.0,-1.0,False
AKT1S1,AKT1S1,19,49869033.0,49879470.0,-1.0,False
AKT2,AKT2,19,40230317.0,40285536.0,-1.0,False
AKT3,AKT3,1,243488233.0,243851079.0,-1.0,False
AKTIP,AKTIP,16,53490502.0,53504411.0,-1.0,False
ALAD,ALAD,9,113386304.0,113401356.0,-1.0,False
ALAS1,ALAS1,3,52198086.0,52214585.0,1.0,False
ALCAM,ALCAM,3,105366706.0,105576909.0,1.0,False
ALDH16A1,ALDH16A1,19,49453146.0,49471052.0,1.0,False
ALDH18A1,ALDH18A1,10,95605937.0,95656841.0,-1.0,False
ALDH1A1,ALDH1A1,9,72900670.0,73080442.0,-1.0,False
ALDH1B1,ALDH1B1,9,38392623.0,38398661.0,1.0,False
ALDH2,ALDH2,12,111766887.0,111817532.0,1.0,False
ALDH3A2,ALDH3A2,17,19647291.0,19685760.0,1.0,False
ALDH3B1,ALDH3B1,11,68008563.0,68029282.0,1.0,False
ALDH4A1,ALDH4A1,1,18871425.0,18902799.0,-1.0,False
ALDH5A1,ALDH5A1,6,24494798.0,24537207.0,1.0,False
ALDH6A1,ALDH6A1,14,74056847.0,74084492.0,-1.0,False
ALDH7A1,ALDH7A1,5,126531200.0,126595362.0,-1.0,False
ALDH9A1,ALDH9A1,1,165662216.0,165698597.0,-1.0,False
ALDOA,ALDOA,16,30064164.0,30070457.0,1.0,False
ALDOC,ALDOC,17,28573115.0,28576948.0,-1.0,False
ALG1,ALG1,16,5033702.0,5087379.0,1.0,False
ALG10,ALG10,12,34022468.0,34029694.0,1.0,False
ALG10B,ALG10B,12,38316762.0,38329721.0,1.0,False
ALG11,ALG11,13,52012391.0,52079232.0,1.0,False
ALG12,ALG12,22,49900229.0,49918458.0,-1.0,False
ALG13,ALG13,X,111665811.0,111760649.0,1.0,False
ALG14,ALG14,1,94974405.0,95072951.0,-1.0,False
ALG2,ALG2,9,99216425.0,99221942.0,-1.0,False
ALG3,ALG3,3,184242301.0,184249548.0,-1.0,False
ALG5,ALG5,13,36949738.0,37000763.0,-1.0,False
ALG6,ALG6,1,63367575.0,63438553.0,1.0,False
ALG8,ALG8,11,78095244.0,78139660.0,-1.0,False
ALG9,ALG9,11,111782195.0,111872405.0,-1.0,False
ALKBH1,ALKBH1,14,77672404.0,77708023.0,-1.0,False
ALKBH2,ALKBH2,12,109088188.0,109098462.0,-1.0,False
ALKBH3,ALKBH3,11,43880811.0,43920274.0,1.0,False
ALKBH4,ALKBH4,7,102456238.0,102464865.0,-1.0,False
ALKBH5,ALKBH5,17,18183078.0,18209954.0,1.0,False
ALKBH6,ALKBH6,19,36009120.0,36014297.0,-1.0,False
ALKBH7,ALKBH7,19,6372763.0,6375250.0,1.0,False
ALKBH8,ALKBH8,11,107502727.0,107565742.0,-1.0,False
ALMS1,ALMS1,2,73385758.0,73625166.0,1.0,False
ALOX12,ALOX12,17,6996049.0,7010754.0,1.0,False
ALOX5,ALOX5,10,45374150.0,45446121.0,1.0,False
ALOX5AP,ALOX5AP,13,30713478.0,30765072.0,1.0,False
ALPK1,ALPK1,4,112285509.0,112442621.0,1.0,False
ALS2,ALS2,2,201700267.0,201782112.0,-1.0,False
ALS2CL,ALS2CL,3,46668994.0,46694071.0,-1.0,False
ALYREF,ALYREF,17,81887835.0,81891586.0,-1.0,False
AMACR,AMACR,5,33986165.0,34008104.0,-1.0,False
AMBRA1,AMBRA1,11,46396414.0,46594125.0,-1.0,False
AMD1,AMD1,6,110874770.0,110898879.0,1.0,False
AMDHD1,AMDHD1,12,95943301.0,95968720.0,1.0,False
AMDHD2,AMDHD2,16,2520340.0,2531422.0,1.0,False
AMFR,AMFR,16,56361449.0,56425545.0,-1.0,False
AMIGO1,AMIGO1,1,109504178.0,109509738.0,-1.0,False
AMIGO2,AMIGO2,12,47075707.0,47080902.0,-1.0,False
AMMECR1,AMMECR1,X,110194186.0,110440318.0,-1.0,False
AMMECR1L,AMMECR1L,2,127861630.0,127885967.0,-1.0,False
AMN,AMN,14,102922663.0,102933596.0,1.0,False
AMN1,AMN1,12,31671142.0,31729121.0,-1.0,False
AMPD2,AMPD2,1,109616104.0,109632055.0,1.0,False
AMPD3,AMPD3,11,10308162.0,10507877.0,1.0,False
AMPH,AMPH,7,38383700.0,38631507.0,-1.0,False
AMT,AMT,3,49416778.0,49422685.0,-1.0,False
AMY2B,AMY2B,1,103553815.0,103579534.0,1.0,False
AMZ2,AMZ2,17,68205481.0,68257712.0,1.0,False
ANAPC1,ANAPC1,2,111611639.0,111884690.0,-1.0,False
ANAPC10,ANAPC10,4,144831908.0,145098823.0,-1.0,False
ANAPC11,ANAPC11,17,81890669.0,81900991.0,1.0,False
ANAPC13,ANAPC13,3,134477704.0,134486716.0,-1.0,False
ANAPC15,ANAPC15,11,72106378.0,72113688.0,-1.0,False
ANAPC16,ANAPC16,10,72215863.0,72235860.0,1.0,False
ANAPC2,ANAPC2,9,137174784.0,137189028.0,-1.0,False
ANAPC4,ANAPC4,4,25377210.0,25420310.0,1.0,False
ANAPC5,ANAPC5,12,121308245.0,121399896.0,-1.0,False
ANAPC7,ANAPC7,12,110372900.0,110403730.0,-1.0,False
ANG,ANG,14,20682950.0,20698971.0,1.0,False
ANGEL1,ANGEL1,14,76781733.0,76826246.0,-1.0,False
ANGEL2,ANGEL2,1,212992182.0,213015867.0,-1.0,False
ANGPTL6,ANGPTL6,19,10092337.0,10106612.0,-1.0,False
ANK1,ANK1,8,41653220.0,41896741.0,-1.0,False
ANK3,ANK3,10,60026298.0,60733490.0,-1.0,False
ANKAR,ANKAR,2,189674290.0,189761193.0,1.0,False
ANKDD1A,ANKDD1A,15,64911861.0,64958700.0,1.0,False
ANKEF1,ANKEF1,20,9986126.0,10058303.0,1.0,False
ANKFY1,ANKFY1,17,4163821.0,4263995.0,-1.0,False
ANKH,ANKH,5,14704800.0,14871877.0,-1.0,False
ANKHD1,ANKHD1,5,140401660.0,140541168.0,1.0,False
ANKIB1,ANKIB1,7,92245973.0,92402070.0,1.0,False
ANKLE1,ANKLE1,19,17281645.0,17287649.0,1.0,False
ANKLE2,ANKLE2,12,132725503.0,132761832.0,-1.0,False
ANKMY1,ANKMY1,2,240479422.0,240569209.0,-1.0,False
ANKMY2,ANKMY2,7,16599779.0,16645831.0,-1.0,False
ANKRA2,ANKRA2,5,73552190.0,73565712.0,-1.0,False
ANKRD10,ANKRD10,13,110878540.0,110915071.0,-1.0,False
ANKRD11,ANKRD11,16,89267619.0,89490561.0,-1.0,False
ANKRD12,ANKRD12,18,9136228.0,9285985.0,1.0,False
ANKRD13A,ANKRD13A,12,109999186.0,110039763.0,1.0,False
ANKRD13C,ANKRD13C,1,70258999.0,70354734.0,-1.0,False
ANKRD13D,ANKRD13D,11,67289291.0,67302486.0,1.0,False
ANKRD16,ANKRD16,10,5861616.0,5889906.0,-1.0,False
ANKRD17,ANKRD17,4,73073376.0,73259147.0,-1.0,False
ANKRD26,ANKRD26,10,26973793.0,27100517.0,-1.0,False
ANKRD27,ANKRD27,19,32597000.0,32676597.0,-1.0,False
ANKRD28,ANKRD28,3,15667236.0,15859771.0,-1.0,False
ANKRD35,ANKRD35,1,145866560.0,145886088.0,-1.0,False
ANKRD36,ANKRD36,2,97113153.0,97264521.0,1.0,False
ANKRD36B,ANKRD36B,2,97492663.0,97589877.0,-1.0,False
ANKRD36C,ANKRD36C,2,95836919.0,95991831.0,-1.0,False
ANKRD37,ANKRD37,4,185396021.0,185400628.0,1.0,False
ANKRD39,ANKRD39,2,96836611.0,96858016.0,-1.0,False
ANKRD40,ANKRD40,17,50693198.0,50707914.0,-1.0,False
ANKRD42,ANKRD42,11,83193712.0,83260694.0,1.0,False
ANKRD44,ANKRD44,2,196967017.0,197311173.0,-1.0,False
ANKRD46,ANKRD46,8,100509752.0,100559784.0,-1.0,False
ANKRD49,ANKRD49,11,94493979.0,94499583.0,1.0,False
ANKRD50,ANKRD50,4,124664048.0,124712732.0,-1.0,False
ANKRD52,ANKRD52,12,56237807.0,56258384.0,-1.0,False
ANKRD54,ANKRD54,22,37830853.0,37849327.0,-1.0,False
ANKRD55,ANKRD55,5,56099680.0,56233330.0,-1.0,False
ANKRD9,ANKRD9,14,102501767.0,102509824.0,-1.0,False
ANKS1A,ANKS1A,6,34889243.0,35091421.0,1.0,False
ANKS3,ANKS3,16,4696510.0,4734378.0,-1.0,False
ANKS6,ANKS6,9,98731329.0,98796965.0,-1.0,False
ANKZF1,ANKZF1,2,219229769.0,219236679.0,1.0,False
ANO10,ANO10,3,43354859.0,43691594.0,-1.0,False
ANO6,ANO6,12,45215987.0,45482280.0,1.0,False
ANO8,ANO8,19,17323223.0,17334855.0,-1.0,False
ANO9,ANO9,11,417921.0,442072.0,-1.0,False
ANP32A,ANP32A,15,68778534.0,68820924.0,-1.0,False
ANP32B,ANP32B,9,97983215.0,98015943.0,1.0,False
